S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1552,01/07/2020,Himachal Pradesh,953,363,580,10
1553,02/07/2020,Himachal Pradesh,979,355,614,10
1554,03/07/2020,Himachal Pradesh,1014,376,628,10
1555,04/07/2020,Himachal Pradesh,1033,356,667,10
1556,05/07/2020,Himachal Pradesh,1046,331,704,11
1557,06/07/2020,Himachal Pradesh,1063,315,737,11
1558,07/07/2020,Himachal Pradesh,1077,303,763,11
1559,08/07/2020,Himachal Pradesh,1083,282,790,11
1560,09/07/2020,Himachal Pradesh,1101,257,833,11
1561,10/07/2020,Himachal Pradesh,1140,283,846,11
1562,11/07/2020,Himachal Pradesh,1171,277,883,11
1563,12/07/2020,Himachal Pradesh,1182,263,908,11
1564,13/07/2020,Himachal Pradesh,1213,273,929,11
1565,12/03/2020,Jammu and Kashmir,1,1,0,0
1566,13/03/2020,Jammu and Kashmir,1,1,0,0
1567,14/03/2020,Jammu and Kashmir,2,2,0,0
1568,15/03/2020,Jammu and Kashmir,2,2,0,0
1569,16/03/2020,Jammu and Kashmir,3,3,0,0
1570,17/03/2020,Jammu and Kashmir,3,3,0,0
1571,18/03/2020,Jammu and Kashmir,3,3,0,0
1572,19/03/2020,Jammu and Kashmir,4,4,0,0
1573,20/03/2020,Jammu and Kashmir,4,4,0,0
1574,21/03/2020,Jammu and Kashmir,4,4,0,0
1575,22/03/2020,Jammu and Kashmir,4,4,0,0
1576,23/03/2020,Jammu and Kashmir,4,4,0,0
1577,24/03/2020,Jammu and Kashmir,4,4,0,0
1578,25/03/2020,Jammu and Kashmir,4,4,0,0
1579,26/03/2020,Jammu and Kashmir,11,10,1,0
1580,27/03/2020,Jammu and Kashmir,13,11,1,1
1581,28/03/2020,Jammu and Kashmir,20,18,1,1
1582,29/03/2020,Jammu and Kashmir,31,29,1,1
1583,30/03/2020,Jammu and Kashmir,31,28,1,2
1584,31/03/2020,Jammu and Kashmir,54,50,2,2
1585,01/04/2020,Jammu and Kashmir,55,51,2,2
1586,02/04/2020,Jammu and Kashmir,62,58,2,2
1587,03/04/2020,Jammu and Kashmir,70,65,3,2
1588,04/04/2020,Jammu and Kashmir,75,70,3,2
1589,05/04/2020,Jammu and Kashmir,92,86,4,2
